marker,occur,impf,impv,infa,infc,perf,ptca,ptcp,wayq,weqt
L <WLMJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L <TWT B  YRH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L <TJM MZMNJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L <T ZQNT CLMH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L <T ZQNH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L <T TCWBT H CNH L <T,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L <T PNJK,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L <T JWM B JWM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L <T H >KL,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L <T H <RB,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L <T <RB L <T,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L <JLWM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L  XDCJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
L  MY<R,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L  MXRT,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
L  MW<D H ZH B  CNH H >XRT,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L  JWM H CLJCJ,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
L  JWM CB<T JMJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L  CBTWT W L  XDCJM W L MW<DJ JHWH >LHJNW,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
L  >XRNH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JWM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJNW,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJKM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJK <L >DMTK,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJK,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
KL JMJ ZWBH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJ ZWB VM>TH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJ YB>J,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJ XJJNW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJ XJJH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
KL JMJ XJJ HBLK KL JMJ HBLK,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJ RC<,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
KL JMJ NZRW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJ NDR NZRW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJ KWRC MLK PRS W <D MLKWT DRJWC MLK PRS,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
KL JMJ JHWJD< H KHN,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
KL JMJ JHW>XZ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
KL JMJ H CWPV,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
KL JMJ H CMH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
KL JMJ H >RY,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJ CMW>L,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
KL JMJ C>WL,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
KL JMJ <WLM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
KL H LJLWT,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
KL H LJLH H HW>,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
KL H LJLH <D H BQR,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
KL H JWM H HW> W KL H LJLH W KL JWM H MXRT,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
KL H JWM H HW>,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
KL CNWTJ,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
K XYT H LJLH,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
K TMWL CLCM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0)
K MWTW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
K MWT >X>B,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
K MH CNJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
K M CLC XDCJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
K JWM TMJM,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
K JWM MDJN,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
K JWM B JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
K JMWT CNWT,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
K H JWM H ZH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
K B  R>CNH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
K <T MNXT <RB,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
K <T,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
K <FRT H JMJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
K <FR CNJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
K  <T XJH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
K  <T MXR H CLCJT,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
JWM W JWM,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
JWM MYPJK,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
JWM MLKNW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
JWM H HW>,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
JWM B JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
JWM >W JWMJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
JTR CNWTJ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
JMJM RBJM K  JMJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
JMJM RBJM CMWNJM W M>T JWM,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
JMJM RBJM <D H JWM H ZH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
JMJM MSPR,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
JMJM CNJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
JMJM >XDJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
JMJM >W <FWR,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
JMJM >RB<H XDCJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
JMJM <L JMJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
JMJM <L CNH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
JMJ XJJW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
JMJ <NJH W MRWDJH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
H JWM W MXR,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
H JWM CLCT H JMJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
H JWM CLCH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
H JMJM H B>JM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
H CNJM H >LH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
H CBJ<T,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
GM TMWL GM CLCM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
GM MXR,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
GM M >Z,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
GM LJLH GM JWMM KL JMJ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
GM L MXR,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0)
GM KL JMJW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
GM H LJLH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
GM B JWM >RB<H <FR L XDC >DR,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
GM B  P<M H Z>T,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
GM B  LJLH H HW>,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
GM B  LJLH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
GM B  JWM W B  LJLH,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
GM B  JWM H CNJ,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
GM B  JMJM H HMH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
GM B  <T H HJ>,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
GM >TMWL GM CLCWM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
GM <D H <T H HJ>,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
DWR DWRJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
CTJM W CMWNJM CNH W CB< M>WT CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CTJM W CMNJM CNH W M>T CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CTJM W CLCJM CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CTJM W CCJM CNH W M>T CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CTJ CNJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
CNTJM JMJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CNTJM >XR H MBWL,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CNJM CLWC,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
CNJM <FR XDC,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
CNJ XDCJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CNH CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
CMWNH <FRH CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CMNH M>WT CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CMNH CNH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
CLWCJM JWM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
CLWC CNJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
CLCJM W M>T CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CLCJM W CLWC CNH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
CLCJM W CLWC,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
CLCJM W CLC CNJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
CLCJM W CLC CNH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
CLCJM JWM W CLCT JMJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
CLCJM CNH W CMNH M>WT CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CLCJM CNH W >RB< M>WT CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CLCH XDCJM W <FRT JMJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
CLCH JRXJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CCT XDCJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
CCT JMJ H M<FH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
CCJM JWM W CCT JMJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
CBW< >XD,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
CBT CBT,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
CB<T JMJM W CB<T LJLWT,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CB<T JMJM B  CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
CB<T JMJ H MCTH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
CB<JM JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CB<JM CCJM W CNJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
CB<JM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
CB< W CMNJM CNH W M>T CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CB< CNJM W M>TJM CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
CB< CNJM W CMNH M>WT CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
BLTJ H JWM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B ZMNJHM,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B XYJ JMW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B XYJ JMJ,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B XMCH <FR L  XDC,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B XMCH <FR JWM L  XDC H CNJ,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B XMCH <FR JWM L  XDC H CBJ<J,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B XMCH <FR JWM B  XDC H CMJNJ B  XDC,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B XMCH <FR BW,1,0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B XJW,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B XJJH,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B XDCH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B XDC NJSN CNT <FRJM L >RTXCST> H MLK,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B XDC KSLW CNT <FRJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B XDC H >BJB,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B TXLT QYJR F<RJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B TXLT,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
B TWK YHRJM,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B TWK H LJLH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B TC<H L  XDC B  <RB M <RB <D <RB,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B RG< QVN,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B RB H JMJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B R>CJT MMLKWT JHWJQJM BN J>CJHW MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B R>CJT MMLKT JHWJQM BN J>WCJHW MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B R>CJT MLKWT YDQJH MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B R>CJT,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B R>CJ XDCJKM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B N<WRJHN,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B N<WRJH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B MWT >BJH W >MH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B MW<DW,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B MNXT H <RB,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B MLKWTW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B MLKWT >XCWRWC B TXLT MLKWTW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B LJLH >XD,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B L> JWMW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B L> <TK,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B KL LJLH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B KL JWM W JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
B KL JMJNW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B KL,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JYQTW,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0)
B JWMW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWMM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM ZBXKM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM ZBX JHWH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B JWM YWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B JWM YMKM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM XTNTW W B JWM FMXT LBW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM XRWN >PW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM W <D H JWM H ZH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM VWBH,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM TWKXH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM QRBNW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM QDJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM QDCJ,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM PC<W,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM NV<K,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM NQM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM NCQ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM MYRJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B JWM MXR,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B JWM MPLTK,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B JWM MLXMT,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B JWM JHWH,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM JCW<H,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM HRG RB,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B JWM H XDC H CNJ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM H MGPH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0)
B JWM H M<FH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM H KPRJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM H GCM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM H CBT B JWM H CBT,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM H BKWRJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
