marker,occur,impf,impv,infa,infc,perf,ptca,ptcp,wayq,weqt
L MN <WLM W <D <WLM,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
L DRTJKM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2)
L CNJM CLWC,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),50.0% (1),0% (0)
L CLCT H JMJM,2,50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0)
L CB<T H JMJM,2,0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),50.0% (1),0% (0)
L >RK JMJM,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),50.0% (1)
L <T <RB,2,50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0)
L <LM W <D,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L <D L <WLM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),50.0% (1),0% (0)
L  MW<D H ZH K  <T XJH,2,0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),50.0% (1),0% (0)
L  JWM H ZH,2,0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0)
L  BQRJM,2,50.0% (1),50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJHM,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
KL JMJ XJW,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
KL JMJ XJJ,2,50.0% (1),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
KL JMJ JHWC< W KL JMJ H ZQNJM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
KL JMJ CLMH,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
KL H JWM W KL H LJLH,2,50.0% (1),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),0% (0)
KL H JWM H HW> W KL H LJLH,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),50.0% (1),0% (0)
K TMWL CLCWM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
K RG<,2,50.0% (1),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),0% (0)
K M<V RG<,2,0% (0),50.0% (1),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),0% (0)
K H JWM,2,50.0% (1),50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
K >TMWL CLCWM,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),50.0% (1),0% (0)
JRX JMJM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),50.0% (1)
JMJM CLWCH,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
JMJM <FRH,2,0% (0),50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0)
GM TMWL GM H JWM,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
GM H JWM,2,0% (0),50.0% (1),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0)
GM B  JMJM H HM,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),50.0% (1),0% (0),0% (0),0% (0)
CTJM <FRH CNH,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),50.0% (1),0% (0)
CNTJM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
CNJM RBWT,2,50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0)
CNJM,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
CMWNH CNJM,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
CMNH CNJM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
CLCJM W >XT CNH,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
CLCJM JWM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
CLCH JMJM W CLCH LJLWT,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),50.0% (1),0% (0)
