book,chapter,verse,clause.n,verb.n,lexeme,tense,domain,has.timex,position.at.cl,cl.dependency
Genesis,3,24,427875,1644,CKN[,wayq,N,2,2,I
Genesis,3,24,427876,0,ø,ø,N,2,2,D
Genesis,3,24,427877,1661,CMR[,infc,N,2,2,D
Genesis,4,1,427878,1670,JD<[,perf,N,2,2,I
Genesis,4,1,427879,1675,HRH[,wayq,N,2,2,I
Genesis,4,1,427880,1677,JLD[,wayq,N,2,2,I
Genesis,4,1,427881,1681,>MR[,wayq,N,2,2,I
Genesis,4,1,427882,1682,QNH=[,perf,Q,2,2,I
Genesis,4,2,427883,1687,JSP[,wayq,N,2,2,I
Genesis,4,2,427884,1689,JLD[,infc,N,2,2,D
Genesis,4,2,427885,1695,HJH[,wayq,N,2,2,I
Genesis,4,2,427886,1701,HJH[,perf,N,2,2,I
Genesis,4,3,427887,1705,HJH[,wayq,N,1,2,I
Genesis,4,3,427888,1710,BW>[,wayq,N,2,2,I
Genesis,4,4,427889,1721,BW>[,perf,N,2,2,I
Genesis,4,4,427890,1731,C<H[,wayq,N,2,2,I
Genesis,4,5,427891,1745,C<H[,perf,N,2,2,I
Genesis,4,5,427892,1747,XRH[,wayq,N,2,2,I
Genesis,4,5,427893,1752,NPL[,wayq,N,2,2,I
Genesis,4,6,427894,1755,>MR[,wayq,N,2,2,I
Genesis,4,6,427895,1760,XRH[,perf,Q,2,2,I
Genesis,4,6,427896,1764,NPL[,perf,Q,2,2,I
Genesis,4,7,427897,0,ø,ø,Q,2,2,I
Genesis,4,7,427898,1769,JVB[,impf,Q,2,2,D
Genesis,4,7,427899,1774,JVB[,impf,Q,2,2,I
Genesis,4,7,427900,0,ø,ø,Q,2,2,I
Genesis,4,7,427901,0,ø,ø,Q,2,2,I
Genesis,4,7,427902,1785,MCL[,impf,Q,2,2,I
Genesis,4,8,427903,1788,>MR[,wayq,N,2,2,I
Genesis,4,8,427904,1794,HJH[,wayq,N,2,2,I
Genesis,4,8,427905,1796,HJH[,infc,N,2,2,D
Genesis,4,8,427906,1801,QWM[,wayq,N,2,2,I
Genesis,4,8,427907,1807,HRG[,wayq,N,2,2,I
Genesis,4,9,427908,1809,>MR[,wayq,N,2,2,I
Genesis,4,9,427909,0,ø,ø,Q,2,2,I
Genesis,4,9,427910,1817,>MR[,wayq,N,2,2,I
Genesis,4,9,427911,1819,JD<[,perf,Q,2,2,I
Genesis,4,9,427912,0,ø,ø,Q,2,2,I
Genesis,4,10,427913,1825,>MR[,wayq,N,2,2,I
Genesis,4,10,427914,1827,<FH[,perf,Q,2,2,I
Genesis,4,10,427915,0,ø,ø,Q,2,2,I
Genesis,4,11,427916,0,ø,ø,Q,1,2,I
Genesis,4,11,427917,0,ø,ø,Q,2,2,I
Genesis,4,11,427918,1844,PYH[,perf,Q,2,2,D
